,state,county,tract,rfgrp,prednum,prednum_moe,predrt,predrt_moe,stname,STABREV,ctname,popuni
81918,20,1,0,0RF,3454,830.4,28.28,6.8,Kansas,KS,"Allen County, KS",12213
81919,20,1,0,1-2RF,5645,873.7,46.22,7.15,Kansas,KS,"Allen County, KS",12213
81920,20,1,0,3PLRF,3114,735.0,25.5,6.02,Kansas,KS,"Allen County, KS",12213
81921,20,1,952600,0RF,532,151.0,28.62,8.12,Kansas,KS,"Allen County, KS",1859
81922,20,1,952600,1-2RF,780,160.0,41.96,8.61,Kansas,KS,"Allen County, KS",1859
81923,20,1,952600,3PLRF,547,139.7,29.42,7.51,Kansas,KS,"Allen County, KS",1859
81924,20,1,952700,0RF,451,169.9,22.62,8.52,Kansas,KS,"Allen County, KS",1994
81925,20,1,952700,1-2RF,1127,177.9,56.52,8.92,Kansas,KS,"Allen County, KS",1994
81926,20,1,952700,3PLRF,416,147.3,20.86,7.39,Kansas,KS,"Allen County, KS",1994
81927,20,1,952800,0RF,906,322.3,25.37,9.03,Kansas,KS,"Allen County, KS",3571
81928,20,1,952800,1-2RF,1673,340.1,46.85,9.52,Kansas,KS,"Allen County, KS",3571
81929,20,1,952800,3PLRF,992,290.2,27.78,8.13,Kansas,KS,"Allen County, KS",3571
81930,20,1,952900,0RF,828,224.7,38.4,10.42,Kansas,KS,"Allen County, KS",2156
81931,20,1,952900,1-2RF,957,234.7,44.39,10.89,Kansas,KS,"Allen County, KS",2156
81932,20,1,952900,3PLRF,371,190.1,17.21,8.82,Kansas,KS,"Allen County, KS",2156
81933,20,1,953000,0RF,737,243.2,27.99,9.24,Kansas,KS,"Allen County, KS",2633
81934,20,1,953000,1-2RF,1108,256.1,42.08,9.73,Kansas,KS,"Allen County, KS",2633
81935,20,1,953000,3PLRF,788,215.0,29.93,8.17,Kansas,KS,"Allen County, KS",2633
81936,20,3,0,0RF,2358,606.3,30.0,7.71,Kansas,KS,"Anderson County, KS",7859
81937,20,3,0,1-2RF,3732,635.3,47.49,8.08,Kansas,KS,"Anderson County, KS",7859
81938,20,3,0,3PLRF,1769,535.4,22.51,6.81,Kansas,KS,"Anderson County, KS",7859
81939,20,3,953600,0RF,1578,452.9,31.86,9.14,Kansas,KS,"Anderson County, KS",4953
81940,20,3,953600,1-2RF,2243,475.6,45.29,9.6,Kansas,KS,"Anderson County, KS",4953
81941,20,3,953600,3PLRF,1132,405.3,22.85,8.18,Kansas,KS,"Anderson County, KS",4953
81942,20,3,953700,0RF,780,239.6,26.84,8.25,Kansas,KS,"Anderson County, KS",2906
81943,20,3,953700,1-2RF,1489,249.3,51.24,8.58,Kansas,KS,"Anderson County, KS",2906
81944,20,3,953700,3PLRF,637,201.2,21.92,6.92,Kansas,KS,"Anderson County, KS",2906
81945,20,5,0,0RF,4005,958.7,26.46,6.33,Kansas,KS,"Atchison County, KS",15137
81946,20,5,0,1-2RF,7447,1108.1,49.2,7.32,Kansas,KS,"Atchison County, KS",15137
81947,20,5,0,3PLRF,3685,952.2,24.34,6.29,Kansas,KS,"Atchison County, KS",15137
81948,20,5,81600,0RF,1471,334.8,34.65,7.89,Kansas,KS,"Atchison County, KS",4245
81949,20,5,81600,1-2RF,1892,348.4,44.57,8.21,Kansas,KS,"Atchison County, KS",4245
81950,20,5,81600,3PLRF,882,281.3,20.78,6.63,Kansas,KS,"Atchison County, KS",4245
81951,20,5,81700,0RF,1771,487.3,34.26,9.43,Kansas,KS,"Atchison County, KS",5170
81952,20,5,81700,1-2RF,2156,513.2,41.7,9.93,Kansas,KS,"Atchison County, KS",5170
81953,20,5,81700,3PLRF,1243,427.2,24.04,8.26,Kansas,KS,"Atchison County, KS",5170
81954,20,5,81800,0RF,763,261.2,27.59,9.45,Kansas,KS,"Atchison County, KS",2765
81955,20,5,81800,1-2RF,1448,275.2,52.37,9.95,Kansas,KS,"Atchison County, KS",2765
81956,20,5,81800,3PLRF,554,229.8,20.04,8.31,Kansas,KS,"Atchison County, KS",2765
81957,20,5,81900,0RF,0,0.0,0.0,0.0,Kansas,KS,"Atchison County, KS",2957
81958,20,5,81900,1-2RF,1951,312.5,65.98,10.57,Kansas,KS,"Atchison County, KS",2957
81959,20,5,81900,3PLRF,1006,312.5,34.02,10.57,Kansas,KS,"Atchison County, KS",2957
81960,20,7,0,0RF,1144,344.8,25.58,7.71,Kansas,KS,"Barber County, KS",4472
81961,20,7,0,1-2RF,2125,364.5,47.52,8.15,Kansas,KS,"Barber County, KS",4472
81962,20,7,0,3PLRF,1203,309.7,26.9,6.93,Kansas,KS,"Barber County, KS",4472
81963,20,7,968100,0RF,757,255.9,26.42,8.93,Kansas,KS,"Barber County, KS",2865
81964,20,7,968100,1-2RF,1410,269.3,49.21,9.4,Kansas,KS,"Barber County, KS",2865
81965,20,7,968100,3PLRF,698,225.8,24.36,7.88,Kansas,KS,"Barber County, KS",2865
81966,20,7,968200,0RF,387,139.6,24.08,8.69,Kansas,KS,"Barber County, KS",1607
81967,20,7,968200,1-2RF,715,149.6,44.49,9.31,Kansas,KS,"Barber County, KS",1607
81968,20,7,968200,3PLRF,505,132.5,31.43,8.25,Kansas,KS,"Barber County, KS",1607
81969,20,9,0,0RF,6794,1735.1,26.35,6.73,Kansas,KS,"Barton County, KS",25784
81970,20,9,0,1-2RF,12699,2011.0,49.25,7.8,Kansas,KS,"Barton County, KS",25784
81971,20,9,0,3PLRF,6291,1739.6,24.4,6.75,Kansas,KS,"Barton County, KS",25784
