"Week","Area","Total Individual Population age 18+","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-"
"12","United States","249170916","89159211","1395159","40.1","0.6"
"12","Kansas","2140957","752847","87020","39.2","4.4"
"12","New Jersey","6776822","2277980","198066","38.1","3.6"
"11","United States","249170916","90642316","1331315","40.6","0.6"
"11","Kansas","2140957","694186","69583","36.1","3.7"
"11","New Jersey","6776822","2577261","212244","44.6","3.4"
"10","United States","249170916","90056474","1398859","40.1","0.6"
"10","Kansas","2140957","769019","76407","39.3","4"
"10","New Jersey","6776822","2785726","255154","45.6","4"
"9","United States","249170916","93226987","1473584","41.5","0.6"
"9","Kansas","2140957","715570","71217","37.6","3.7"
"9","New Jersey","6776822","2898435","268958","47.3","4.1"
"8","United States","249170916","93351090","1714606","41.5","0.8"
"8","Kansas","2140957","816928","90189","41.3","4.3"
"8","New Jersey","6776822","2828123","240526","45.7","4"
"7","United States","249170916","92323701","1642426","41","0.7"
"7","Kansas","2140957","808814","91133","42.3","4.7"
"7","New Jersey","6776822","2731683","263354","44.8","4.3"
"6","United States","249170916","87656796","1611211","40.3","0.7"
"6","Kansas","2140957","674600","75096","35.2","3.5"
"6","New Jersey","6776822","2795091","270565","47.7","4.3"
"5","United States","249170916","89029859","1425617","41.4","0.5"
"5","Kansas","2140957","651616","66194","34.4","3.2"
"5","New Jersey","6776822","2636299","208465","45","3.2"
"4","United States","249170916","87663833","1716986","40.6","0.7"
"4","Kansas","2140957","660520","71260","34.2","3.6"
"4","New Jersey","6776822","2404014","227847","41.1","3.8"
"3","United States","249170916","90374389","1627958","40.7","0.7"
"3","Kansas","2140957","721574","104560","36.6","5.1"
"3","New Jersey","6776822","2898537","284389","47","4.6"
"2","United States","249170916","93764650","2159375","41.1","1"
"2","Kansas","2140957","772358","114715","38.2","5.4"
"2","New Jersey","6776822","2606712","272889","43.7","4.5"
"1","United States","249170916","86449064","1297724","38.7","0.5"
"1","Kansas","2140957","693203","82792","35.3","4.1"
"1","New Jersey","6776822","2251839","223489","37.9","3.7"
