"Week","Area","Total Individual Population age 18+","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-"
"12","United States","249170916","29284583","1266138","12.1","0.5"
"12","Kansas","2140957","207146","42060","9.9","2"
"12","New Jersey","6776822","517475","137843","7.9","2.1"
"11","United States","249170916","26058378","907236","10.8","0.4"
"11","Kansas","2140957","145619","37562","7","1.8"
"11","New Jersey","6776822","407624","129878","6.3","2"
"10","United States","249170916","26324301","898739","10.8","0.4"
"10","Kansas","2140957","146446","33179","7","1.6"
"10","New Jersey","6776822","555901","128676","8.4","2"
"9","United States","249170916","25359019","1141726","10.4","0.5"
"9","Kansas","2140957","172191","54842","8.3","2.6"
"9","New Jersey","6776822","713752","181304","10.8","2.8"
"8","United States","249170916","23678322","1213808","9.7","0.5"
"8","Kansas","2140957","163793","45554","7.8","2.2"
"8","New Jersey","6776822","667190","140617","10.1","2.1"
"7","United States","249170916","24492714","1172887","10.1","0.5"
"7","Kansas","2140957","199014","48329","9.4","2.3"
"7","New Jersey","6776822","435282","135340","6.5","2"
"6","United States","249170916","24953623","1051475","10.3","0.4"
"6","Kansas","2140957","208832","52173","10","2.5"
"6","New Jersey","6776822","719199","188590","11","2.9"
"5","United States","249170916","25912441","976839","10.7","0.4"
"5","Kansas","2140957","151068","33394","7.2","1.6"
"5","New Jersey","6776822","666152","135809","10.2","2"
"4","United States","249170916","24048972","1237967","9.9","0.5"
"4","Kansas","2140957","164541","37779","7.8","1.8"
"4","New Jersey","6776822","626036","151115","9.6","2.3"
"3","United States","249170916","26160379","1167858","10.7","0.5"
"3","Kansas","2140957","142684","31076","6.8","1.5"
"3","New Jersey","6776822","674542","144138","10.2","2.2"
"2","United States","249170916","25893667","1440230","10.6","0.6"
"2","Kansas","2140957","155335","45121","7.5","2.1"
"2","New Jersey","6776822","695764","261899","10.7","4"
"1","United States","249170916","24069654","835732","9.8","0.3"
"1","Kansas","2140957","143851","35154","6.8","1.7"
"1","New Jersey","6776822","790923","155589","12","2.3"
