"Week","Area","Total Individual Population age 18+","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-"
"12","United States","249170916","59592693","1154759","99.4","0.2"
"12","Kansas","2140957","570942","59099","100","0"
"12","New Jersey","6776822","1589357","235362","97.7","2.7"
"11","United States","249170916","63304731","1097356","99.4","0.2"
"11","Kansas","2140957","528907","59872","99.6","0.5"
"11","New Jersey","6776822","1651373","178318","100","0"
"10","United States","249170916","60477481","1305474","99.2","0.3"
"10","Kansas","2140957","548808","71514","99.9","0.2"
"10","New Jersey","6776822","1896266","192232","100","0"
"9","United States","249170916","61834858","1205849","99.5","0.1"
"9","Kansas","2140957","559753","73145","99.7","0.3"
"9","New Jersey","6776822","1796515","182526","99.8","0.4"
"8","United States","249170916","62053666","1344182","99.4","0.2"
"8","Kansas","2140957","535140","70799","99.9","0.1"
"8","New Jersey","6776822","1779188","221501","99.8","0.4"
"7","United States","249170916","60071824","1358070","99.5","0.1"
"7","Kansas","2140957","486834","71649","100","0"
"7","New Jersey","6776822","1676937","200271","99.8","0.2"
"6","United States","249170916","57540656","1210210","99.4","0.2"
"6","Kansas","2140957","502187","57692","98.4","1.3"
"6","New Jersey","6776822","1312064","155772","100","0"
"5","United States","249170916","56701494","1136847","99.1","0.4"
"5","Kansas","2140957","536676","55964","96.5","4"
"5","New Jersey","6776822","1550134","164830","100","0"
"4","United States","249170916","58422383","1194576","99.6","0.1"
"4","Kansas","2140957","555339","64869","99.9","0.1"
"4","New Jersey","6776822","1521487","169069","100","0"
"3","United States","249170916","59358354","1339077","99.5","0.2"
"3","Kansas","2140957","535305","72986","99.3","1.2"
"3","New Jersey","6776822","1620711","212663","100","0"
"2","United States","249170916","66309831","1942333","99.7","0.1"
"2","Kansas","2140957","630886","117878","99.9","0.3"
"2","New Jersey","6776822","1863014","302747","100","0"
"1","United States","249170916","65371463","1301512","99.6","0.1"
"1","Kansas","2140957","574495","69764","99.6","0.6"
"1","New Jersey","6776822","2004125","195656","100","0"
