"Week","Area","Total Individual Population age 18+","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-"
"12","United States","249170916","44667345","1117654","26.5","0.7"
"12","Kansas","2140957","377403","52450","25.7","3.5"
"12","New Jersey","6776822","1344779","221150","27.8","4.5"
"11","United States","249170916","45191150","1316425","26.4","0.7"
"11","Kansas","2140957","281067","52909","19.7","3.7"
"11","New Jersey","6776822","1270764","202219","29","4.1"
"10","United States","249170916","43373346","1047257","25.3","0.6"
"10","Kansas","2140957","246146","56023","16.5","3.8"
"10","New Jersey","6776822","1370672","194206","28.5","3.9"
"9","United States","249170916","44454003","1240174","25.9","0.7"
"9","Kansas","2140957","311049","58811","22.7","4.1"
"9","New Jersey","6776822","1321467","209905","28.7","4.1"
"8","United States","249170916","41836775","1389536","24.5","0.8"
"8","Kansas","2140957","194589","37409","13.5","2.7"
"8","New Jersey","6776822","1392612","181194","30.1","3.8"
"7","United States","249170916","39396029","1278653","23.2","0.8"
"7","Kansas","2140957","202676","65245","15.4","4.7"
"7","New Jersey","6776822","1125115","240909","23.8","4.9"
"6","United States","249170916","35653814","1304982","22.1","0.8"
"6","Kansas","2140957","232106","43588","16.3","2.8"
"6","New Jersey","6776822","1057641","236996","24.4","4.9"
"5","United States","249170916","38392149","1206713","23.7","0.7"
"5","Kansas","2140957","228109","45043","16.3","3.2"
"5","New Jersey","6776822","1272511","161778","28.4","3.1"
"4","United States","249170916","38075649","1151355","23.6","0.6"
"4","Kansas","2140957","292976","57378","20.3","3.9"
"4","New Jersey","6776822","1359414","163770","29.3","3.4"
"3","United States","249170916","42113128","1475175","25.4","0.8"
"3","Kansas","2140957","302189","67011","24.5","5.2"
"3","New Jersey","6776822","1451913","192337","32.2","4"
"2","United States","249170916","43182492","1894276","24.7","1"
"2","Kansas","2140957","296524","85659","22","5.9"
"2","New Jersey","6776822","1451550","309633","31.8","5.9"
"1","United States","249170916","42315164","1101743","24.6","0.6"
"1","Kansas","2140957","320961","63807","22.7","4"
"1","New Jersey","6776822","1233751","163034","26.3","3.2"
