"Week","Area","Total Individual Population age 18+","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-"
"12","United States","249170916","126554411","1457948","51.1","0.6"
"12","Kansas","2140957","975587","93739","45.8","4.3"
"12","New Jersey","6776822","3724695","274776","55.4","4.1"
"11","United States","249170916","124268411","1700106","50.1","0.7"
"11","Kansas","2140957","914421","87296","42.8","4.1"
"11","New Jersey","6776822","3453375","261132","51.4","3.9"
"10","United States","249170916","123605981","1311531","49.9","0.5"
"10","Kansas","2140957","867355","76604","40.7","3.6"
"10","New Jersey","6776822","3544761","259130","53","3.8"
"9","United States","249170916","121735116","1423697","49.1","0.6"
"9","Kansas","2140957","906614","66971","42.4","3.1"
"9","New Jersey","6776822","3550754","236432","53","3.5"
"8","United States","249170916","119795612","1637747","48.3","0.7"
"8","Kansas","2140957","847365","72351","39.9","3.4"
"8","New Jersey","6776822","3632907","219031","54.2","3.3"
"7","United States","249170916","118676566","1616648","47.8","0.6"
"7","Kansas","2140957","921443","98447","43.1","4.6"
"7","New Jersey","6776822","3273463","276737","48.5","4.1"
"6","United States","249170916","118531419","1809795","47.8","0.7"
"6","Kansas","2140957","828284","84015","39","4"
"6","New Jersey","6776822","3461303","327851","51.5","4.9"
"5","United States","249170916","119748238","1446847","48.3","0.6"
"5","Kansas","2140957","918833","71850","43.1","3.4"
"5","New Jersey","6776822","3589084","183832","53.5","2.6"
"4","United States","249170916","119194889","1517262","48.1","0.6"
"4","Kansas","2140957","865204","84610","40.5","3.9"
"4","New Jersey","6776822","3608781","207488","53.5","3.1"
"3","United States","249170916","120191111","1775632","48.5","0.7"
"3","Kansas","2140957","866413","87431","40.5","4.1"
"3","New Jersey","6776822","3668472","264422","54.6","3.9"
"2","United States","249170916","117913989","2119807","47.5","0.9"
"2","Kansas","2140957","751894","117905","35.2","5.5"
"2","New Jersey","6776822","3831063","328656","56.6","4.9"
"1","United States","249170916","116428453","1483172","47","0.6"
"1","Kansas","2140957","750885","75707","35.2","3.5"
"1","New Jersey","6776822","3638322","228201","53.9","3.4"
