"Week","Area","Total Individual Population age 18+","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-"
"12","United States","249170916","87332680","1450190","35.2","0.6"
"12","Kansas","2140957","670112","93707","31.3","4.4"
"12","New Jersey","6776822","2061092","240637","30.7","3.6"
"11","United States","249170916","86934763","1486195","35.1","0.6"
"11","Kansas","2140957","501915","51787","23.5","2.4"
"11","New Jersey","6776822","2425984","177826","36.1","2.6"
"10","United States","249170916","86506030","1444169","34.9","0.6"
"10","Kansas","2140957","604740","76085","28.4","3.6"
"10","New Jersey","6776822","2221539","171778","32.9","2.5"
"9","United States","249170916","86543690","1410366","34.9","0.6"
"9","Kansas","2140957","606548","85600","28.5","4"
"9","New Jersey","6776822","2782270","227685","41.4","3.4"
"8","United States","249170916","79388889","1470742","32","0.6"
"8","Kansas","2140957","457722","78896","21.5","3.7"
"8","New Jersey","6776822","2404377","210969","35.9","3.1"
"7","United States","249170916","76839086","1354537","31","0.6"
"7","Kansas","2140957","475563","70956","22.3","3.3"
"7","New Jersey","6776822","2350398","250459","34.8","3.7"
"6","United States","249170916","78567969","1430157","31.7","0.6"
"6","Kansas","2140957","511683","62491","24","2.9"
"6","New Jersey","6776822","2363227","272321","35.4","4"
"5","United States","249170916","84139865","1549622","34","0.6"
"5","Kansas","2140957","579555","74364","27.2","3.5"
"5","New Jersey","6776822","2760082","203590","41.2","2.9"
"4","United States","249170916","86422194","1535099","34.9","0.6"
"4","Kansas","2140957","568285","69926","26.7","3.3"
"4","New Jersey","6776822","2796973","191882","41.5","2.9"
"3","United States","249170916","89995842","1591035","36.3","0.6"
"3","Kansas","2140957","627879","71040","29.6","3.4"
"3","New Jersey","6776822","2968641","281697","44.2","4.1"
"2","United States","249170916","91884140","2216540","37","0.9"
"2","Kansas","2140957","534482","121982","25.1","5.7"
"2","New Jersey","6776822","3292129","332487","48.6","4.9"
"1","United States","249170916","96034375","1468445","38.8","0.6"
"1","Kansas","2140957","613553","80251","28.9","3.8"
"1","New Jersey","6776822","3159325","254553","47","3.8"
