Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU03032223,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Level - Farming, Fishing, and Forestry Occupations",,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,"Farming, fishing, and forestry occupations",,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,257,190,207,140,93,90,61,50,63,55,134,130
2020,210,183,131,153,101,76,78,,,,,
