Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU03032215,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Level - Management, Professional, and Related Occupations",,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,"Management, professional, and related occupations",,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,1607,1317,1289,1040,1086,1540,1591,1476,1235,1161,1208,1171
2020,1454,1207,1663,5079,4432,4390,4400,,,,,
