Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU02032213,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Employment Level - Production Occupations,,,,,,,,,,,
Labor force status:,Employed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Occupation:,Production occupations,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,8417,8742,8635,8534,8660,8785,8415,8861,8502,8412,8586,8229
2020,8322,8361,7986,6380,6868,7198,7322,,,,,
