Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU03032227,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - Production Occupations,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Production occupations,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,372,340,375,340,276,309,362,358,379,386,334,372
2020,431,448,449,1457,1228,889,929,,,,,
