Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU03032220,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Level - Sales and Related Occupations,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Sales and related occupations,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,731,800,739,625,582,534,523,625,581,572,531,528
2020,724,657,652,2519,2412,2059,1734,,,,,
