Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU03032228,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,Unemployment Level - Transportation and Material Moving Occupations,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Transportation and material moving occupations,,,,,,,,,,,
Years:,2019 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,498,528,514,427,527,528,541,597,467,411,468,454
2020,574,682,851,2045,2217,1704,1825,,,,,
