Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032224,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Rate - Construction and Extraction Occupations,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Construction and extraction occupations,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,24.6,26.5,24.6,21.4,19.1,18.2,15.9,16.3,17.6,17.2,19.0,20.7
2011,22.9,22.0,20.3,17.1,16.3,15.4,13.7,13.2,13.4,14.2,13.4,16.4
2012,18.4,17.9,17.0,14.4,14.2,13.0,12.9,11.9,13.2,12.6,12.9,14.4
2013,16.8,15.8,15.8,14.3,11.7,11.1,10.8,10.5,10.1,10.5,10.3,12.1
2014,13.0,13.1,11.8,9.8,9.4,9.2,8.0,8.7,7.6,7.7,8.2,9.3
2015,11.1,11.6,11.0,8.5,7.5,7.4,6.3,7.0,7.0,7.1,6.8,9.6
2016,10.4,9.9,9.6,6.9,6.1,5.3,5.3,5.9,5.7,7.0,6.5,8.5
2017,10.3,9.7,9.9,7.6,6.4,5.3,6.3,5.9,5.5,5.7,5.6,6.8
2018,8.4,8.9,8.2,7.6,5.4,5.4,4.2,4.0,4.8,4.5,4.4,6.0
2019,7.5,6.7,5.7,5.2,3.7,4.2,4.5,4.5,3.6,4.6,5.0,6.3
2020,6.9,6.9,8.3,18.9,15.2,11.5,10.2,,,,,
