Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032223,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Farming, Fishing, and Forestry Occupations",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,"Farming, fishing, and forestry occupations",,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,25.9,22.7,21.8,16.7,13.3,14.2,10.9,9.6,11.9,12.5,16.9,22.5
2011,20.7,21.9,20.4,19.3,10.2,11.3,11.9,10.9,11.2,14.5,15.8,18.2
2012,22.3,19.9,19.8,17.6,10.7,10.3,10.2,10.9,9.5,10.9,15.5,18.3
2013,18.5,16.1,15.3,10.8,5.9,7.9,6.3,10.0,10.3,12.8,11.9,13.4
2014,14.2,11.3,18.7,14.0,9.8,6.4,7.4,8.6,10.5,10.2,13.4,16.9
2015,17.7,15.0,15.7,10.9,9.3,6.7,6.2,5.1,5.7,11.0,13.8,14.7
2016,15.5,13.0,12.8,9.9,8.4,10.8,7.5,5.1,9.1,7.0,12.3,15.5
2017,15.1,8.9,9.9,8.9,6.1,7.0,7.6,5.7,8.3,5.2,7.4,15.0
2018,13.2,12.5,12.1,11.6,8.0,9.0,7.0,7.3,4.2,5.0,9.8,11.1
2019,18.6,14.3,15.5,10.5,6.6,7.5,4.8,4.3,5.2,4.7,11.1,10.0
2020,16.3,13.8,10.6,12.4,8.3,7.4,7.3,,,,,
