Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032225,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Installation, Maintenance, and Repair Occupations",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,"Installation, maintenance, and repair occupations",,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,10.3,10.4,9.4,10.0,9.7,9.9,9.3,9.5,9.3,8.3,8.6,6.7
2011,8.3,7.1,9.2,8.6,7.8,8.1,7.9,8.4,7.5,7.2,6.1,5.8
2012,6.8,6.3,6.7,5.5,6.3,5.3,6.5,6.6,6.5,6.2,5.5,6.4
2013,6.8,6.0,4.8,4.6,6.0,5.6,5.2,5.6,4.8,5.4,5.2,5.0
2014,5.1,5.0,5.0,4.0,3.8,4.3,5.0,4.8,3.4,3.8,3.8,4.5
2015,6.2,6.1,4.9,5.0,4.6,4.2,3.8,3.2,3.5,3.0,3.5,3.5
2016,4.3,4.9,5.4,4.7,4.0,4.4,4.1,3.7,3.3,3.9,3.1,3.3
2017,3.5,4.2,3.6,2.9,4.1,3.8,2.7,3.5,3.4,3.2,3.6,3.2
2018,3.1,2.9,3.0,2.7,2.4,3.0,2.2,2.5,1.8,1.7,2.9,3.4
2019,2.8,3.2,2.5,2.7,3.0,3.0,3.4,2.9,2.2,1.5,1.6,2.0
2020,2.8,2.4,2.7,12.8,11.0,9.6,7.9,,,,,
