Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032216,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Unadj) Unemployment Rate - Management, Business, and Financial Operations Occupations",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,"Management, business, and financial operations occupations",,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,5.2,5.1,5.4,5.1,4.9,4.8,4.7,4.9,4.3,5.0,5.5,5.7
2011,5.3,4.9,4.8,4.6,4.9,4.6,4.6,4.6,4.6,4.7,4.6,4.4
2012,4.5,4.4,4.4,4.0,4.1,3.8,3.8,3.7,3.5,3.6,3.8,4.1
2013,4.0,3.9,3.5,3.5,3.8,3.5,3.1,3.4,3.3,3.7,3.2,3.1
2014,3.4,3.6,3.5,3.2,3.3,2.8,2.7,2.6,2.4,2.7,2.7,2.5
2015,3.0,2.8,2.6,2.6,2.9,2.4,2.3,2.2,2.4,2.2,2.1,1.9
2016,2.3,2.6,2.5,2.4,2.4,2.5,2.4,2.5,2.8,2.5,2.3,2.4
2017,2.5,2.4,2.4,2.2,1.8,1.9,1.9,2.4,2.5,1.9,1.9,2.0
2018,2.0,2.0,2.0,1.8,1.7,2.1,1.9,2.0,2.1,2.0,2.1,2.2
2019,2.5,2.1,2.0,1.4,1.5,1.9,1.8,1.9,1.6,1.7,1.6,1.9
2020,2.3,1.8,2.2,6.2,5.1,4.8,5.1,,,,,
