Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032221,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Rate - Office and Administrative Support Occupations,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Office and administrative support occupations,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,9.0,8.9,8.5,8.2,8.1,8.6,8.9,9.2,9.1,8.9,8.8,8.3
2011,8.9,8.5,8.4,7.9,8.3,8.8,8.7,9.0,8.7,8.6,8.5,8.0
2012,8.2,8.0,8.0,7.6,7.8,7.9,7.7,7.7,7.2,7.3,7.1,7.0
2013,8.4,7.6,7.4,6.9,6.8,7.0,6.9,7.1,7.1,7.0,6.7,6.4
2014,6.8,6.3,6.2,5.7,5.8,5.6,5.9,6.0,6.1,5.2,5.3,4.8
2015,5.3,5.0,5.4,4.9,4.9,4.4,4.8,4.6,4.7,4.4,4.2,3.8
2016,5.5,5.5,5.3,4.8,3.8,4.0,4.6,4.0,4.1,4.0,3.9,3.8
2017,4.8,4.9,4.4,3.5,3.6,3.8,4.0,3.9,4.3,3.8,3.7,3.5
2018,4.0,4.4,3.8,3.2,3.3,3.2,4.1,4.1,3.2,3.4,3.3,3.5
2019,4.2,3.5,3.5,3.4,4.0,4.1,4.1,3.9,3.1,3.1,3.1,2.9
2020,3.5,3.3,3.6,12.7,11.8,10.5,9.8,,,,,
