Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032227,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Rate - Production Occupations,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Production occupations,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,15.4,15.4,16.1,13.8,13.1,12.1,12.3,11.6,12.1,12.1,12.2,11.7
2011,12.3,12.3,11.7,11.7,11.9,12.0,11.5,10.8,10.4,9.6,9.5,10.7
2012,10.4,10.5,9.7,9.4,8.8,9.4,9.6,9.5,8.4,8.7,7.9,9.2
2013,10.4,9.1,8.2,8.3,9.6,8.7,9.3,8.4,9.4,7.7,7.9,7.7
2014,7.8,7.8,7.9,7.6,7.1,6.2,7.7,6.8,6.1,6.0,6.4,6.2
2015,7.0,7.0,6.4,5.5,6.1,5.1,6.2,5.3,4.5,4.8,5.0,5.3
2016,6.1,6.1,5.9,5.8,6.1,4.9,5.9,5.5,6.4,5.5,5.2,5.5
2017,6.4,6.0,5.3,4.8,4.6,5.1,5.1,5.7,4.7,3.5,3.3,4.2
2018,4.5,4.3,4.3,4.4,4.4,3.7,4.1,3.6,3.9,4.4,3.4,3.3
2019,4.2,3.7,4.2,3.8,3.1,3.4,4.1,3.9,4.3,4.4,3.7,4.3
2020,4.9,5.1,5.3,18.6,15.2,11.0,11.3,,,,,
