Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032217,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Rate - Professional and Related Occupations,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Professional and related occupations,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,4.9,4.6,4.3,4.1,4.3,5.0,5.2,5.3,4.4,4.1,4.1,3.8
2011,4.3,4.1,3.9,3.5,4.0,4.9,5.3,5.1,4.4,4.1,4.0,4.0
2012,4.2,4.1,4.0,3.5,4.0,4.8,5.5,5.2,4.3,3.9,3.5,3.8
2013,3.8,3.8,3.6,3.4,3.3,4.6,4.7,4.0,3.6,3.1,2.9,2.7
2014,2.9,3.0,3.1,2.6,2.9,4.0,4.1,3.9,3.1,2.7,2.9,2.8
2015,2.9,2.7,2.2,2.3,2.1,3.2,3.6,3.3,2.4,2.2,2.2,2.1
2016,2.4,2.2,2.3,1.8,2.0,3.1,3.4,3.5,2.6,2.4,2.2,2.1
2017,2.2,1.9,1.8,1.8,2.0,2.6,3.3,3.1,2.3,2.2,2.0,2.1
2018,2.3,2.0,2.1,1.8,1.7,2.8,2.8,2.9,2.0,1.9,2.1,2.1
2019,2.4,2.0,1.9,1.8,1.8,2.7,2.9,2.6,2.1,1.8,1.9,1.7
2020,2.1,1.8,2.6,8.8,7.7,7.7,7.6,,,,,
