Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032220,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Rate - Sales and Related Occupations,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Sales and related occupations,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,10.1,10.2,9.7,9.2,9.6,9.4,10.1,9.0,9.4,9.1,8.8,8.3
2011,9.3,9.0,8.8,8.5,9.4,9.7,9.4,8.6,9.4,8.2,7.8,7.7
2012,8.2,7.9,8.1,7.6,7.9,8.4,8.3,8.6,7.9,7.0,7.3,7.0
2013,8.5,8.2,7.7,6.9,7.1,6.7,6.9,7.2,7.5,7.3,7.0,6.3
2014,7.5,7.7,6.8,5.8,6.8,6.1,6.2,5.6,5.4,5.2,5.3,5.0
2015,5.8,5.2,5.8,5.5,5.8,5.6,5.8,5.4,5.6,5.3,5.1,4.8
2016,5.0,4.4,4.4,5.2,5.1,4.9,4.9,4.8,5.2,4.4,4.6,4.6
2017,5.2,4.3,3.9,4.2,4.5,4.8,4.2,4.2,3.7,4.0,4.1,3.8
2018,4.6,4.5,4.5,4.1,4.2,4.4,4.0,3.5,4.0,3.6,3.7,3.6
2019,4.5,5.0,4.6,3.9,3.6,3.4,3.2,3.8,3.6,3.4,3.3,3.3
2020,4.5,4.2,4.3,17.1,16.2,13.3,10.9,,,,,
