Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNU04032228,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Unadj) Unemployment Rate - Transportation and Material Moving Occupations,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Labor force experience:,Experienced,,,,,,,,,,,
Occupation:,Transportation and material moving occupations,,,,,,,,,,,
Years:,2010 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,15.0,15.0,15.6,13.2,12.7,11.8,11.9,10.3,10.2,10.0,11.3,12.0
2011,13.6,13.6,12.8,12.0,10.7,10.8,11.0,11.6,10.9,10.2,10.1,10.1
2012,11.3,12.0,11.2,10.0,10.1,10.3,10.1,10.8,9.3,9.3,9.4,9.8
2013,11.7,10.9,10.5,9.0,9.0,8.6,9.0,8.5,8.0,9.5,9.0,8.4
2014,10.0,10.2,9.2,8.0,7.2,7.5,7.7,7.6,6.8,6.4,6.0,6.1
2015,7.5,7.7,8.1,6.1,7.0,6.9,6.9,6.3,5.8,6.7,6.8,6.2
2016,7.6,6.6,6.2,6.8,6.0,6.7,7.5,7.1,5.9,5.8,5.7,6.1
2017,7.0,7.3,6.2,5.7,5.5,5.7,6.2,5.3,4.5,5.2,5.8,5.1
2018,6.8,6.1,5.2,4.4,4.9,5.0,4.5,5.2,4.6,4.8,4.0,4.4
2019,5.0,5.1,4.9,4.0,4.9,4.9,5.0,5.7,4.4,3.9,4.4,4.2
2020,4.6,5.5,7.1,17.9,18.3,14.7,15.3,,,,,
